GCA	Assembly_UID	Assembly_search_term	Assembly_accession	BioSample	BioSample_refetched	BioSample_UID	geo_location	isolation_source	host	disease	host_health_state	collection_date	strain	sample_name	submitter_id	organism	biosample_title	all_biosample_attributes	error	GCA_clean	Bacterial accession	Phylogroup
GCA_002307515.1	1200321	GCA_002307515.1[Assembly Accession]	GCF_002307515.1	SAMN07624462	SAMN07624462	7624462	USA:OR	ground turkey	Unknown	Unknown	Unknown	2015	N60592	Unknown	N60592	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	collected by=FDA; collected_by=FDA; collection date=2015; collection_date=2015; geo_loc_name=USA:OR; geographic location=USA:OR; isolation source=ground turkey; isolation_source=ground turkey; lat_lon=Unknown; latitude and longitude=Unknown; strain=N60592		GCA_002307515.1	GCA_002307515.1	D2
GCA_002547315.1	1326061	GCA_002547315.1[Assembly Accession]	GCF_002547315.1	SAMN05439362	SAMN05439362	5439362	USA	urine	Unknown	Unknown	Unknown	30/07/1985	MOD1-EC5895	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1985-07-30; collection_date=1985-07-30; food product origin geographic location=USA:CA; food_origin=USA:CA; geo_loc_name=USA; geographic location=USA; host=Unknown; host disease=Unknown; host_disease=Unknown; ifsac+ category=veterinary clinical/research; ifsac_category=veterinary clinical/research; interagency food safety analytics collaboration (ifsac) category=veterinary clinical/research; isolate name alias=CFSAN044132, 156; isolate_name_alias=CFSAN044132, 156; isolation source=urine; isolation_source=urine; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=urine:uberon_0001088; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5895		GCA_002547315.1	GCA_002547315.1	D2
GCA_002540915.1	1322921	GCA_002540915.1[Assembly Accession]	GCF_002540915.1	SAMN05439517	SAMN05439517	5439517	USA	liver	Bos taurus	Unknown	Unknown	01/07/2011	MOD1-EC6092	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=2011-07-01; collection_date=2011-07-01; food product origin geographic location=USA:NY; food_origin=USA:NY; geo_loc_name=USA; geographic location=USA; host=Bos taurus; host disease=Unknown; host_disease=Unknown; ifsac+ category=meat; ifsac_category=meat; interagency food safety analytics collaboration (ifsac) category=meat; isolate name alias=CFSAN044329, 72187-11-1-7A; isolate_name_alias=CFSAN044329, 72187-11-1-7A; isolation source=liver; isolation_source=liver; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=liver:uberon_0002107; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=food; source_type=food; strain=MOD1-EC6092		GCA_002540915.1	GCA_002540915.1	D2
GCA_000781415.1	224311	GCA_000781415.1[Assembly Accession]	GCF_000781415.1	SAMN02801915	SAMN02801915	2801915	USA: WA	patient with urinary tract infection	Homo sapiens	urinary tract infection	Unknown	2011	upec-105	Unknown	upec-105	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=University of Washington; collected_by=University of Washington; collection date=2011; collection_date=2011; geo_loc_name=USA: WA; geographic location=USA: WA; host=Homo sapiens; host disease=urinary tract infection; host_disease=urinary tract infection; isolation source=patient with urinary tract infection; isolation_source=patient with urinary tract infection; lat_lon=Unknown; latitude and longitude=Unknown; strain=upec-105		GCA_000781415.1	GCA_000781415.1	D2
GCA_000780995.1	224101	GCA_000780995.1[Assembly Accession]	GCF_000780995.1	SAMN02801938	SAMN02801938	2801938	USA: WA	patient with urinary tract infection	Homo sapiens	urinary tract infection	Unknown	2011	upec-126	Unknown	upec-126	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=University of Washington; collected_by=University of Washington; collection date=2011; collection_date=2011; geo_loc_name=USA: WA; geographic location=USA: WA; host=Homo sapiens; host disease=urinary tract infection; host_disease=urinary tract infection; isolation source=patient with urinary tract infection; isolation_source=patient with urinary tract infection; lat_lon=Unknown; latitude and longitude=Unknown; strain=upec-126		GCA_000780995.1	GCA_000780995.1	D2
GCA_000418755.2	565311	GCA_000418755.2[Assembly Accession]	GCF_000418755.2	SAMN02436760	SAMN02436760	2436760	USA: MO	stool sample of individual with bacteremia	Homo sapiens	Unknown	Unknown	Unknown	AB42410445-isolate1	Unknown	ATOD	Escherichia coli AB42410445-isolate1	Generic sample from Escherichia coli AB42410445-isolate1	country=USA: MO; geo_loc_name=USA: MO; geographic location=USA: MO; host=Homo sapiens; isolation source=stool sample of individual with bacteremia; isolation-source=stool sample of individual with bacteremia; isolation_source=stool sample of individual with bacteremia; strain=AB42410445-isolate1		GCA_000418755.2	GCA_000418755.2	D2
GCA_002461015.1	1279621	GCA_002461015.1[Assembly Accession]	GCF_002461015.1	SAMN05591702	SAMN05591702	5591702	USA	feces	Homo sapiens	Unknown	Unknown	1997	MOD1-EC1562	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Michigan State University; collected_by=Michigan State University; collection date=1997; collection_date=1997; food product origin geographic location=Guinea-Bissau; food_origin=Guinea-Bissau; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN054302, 51C1; isolate_name_alias=CFSAN054302, 51C1; isolation source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=feces:uberon_0001988; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Michigan State University; sequenced_by=Michigan State University; source type=human; source_type=human; strain=MOD1-EC1562		GCA_002461015.1	GCA_002461015.1	D2
GCA_002191025.1	1131231	GCA_002191025.1[Assembly Accession]	GCF_002191025.1	SAMN05010819	SAMN05010819	5010819	Sweden	Unknown	Homo sapiens	Unknown	Unknown	Unknown	ECOR48	Unknown	ECOR48	Escherichia coli	Microbe sample from Escherichia coli	collection date=Unknown; collection_date=Unknown; geo_loc_name=Sweden; geographic location=Sweden; host=Homo sapiens; nat-host=Homo sapiens; sample type=whole organism; sample_type=whole organism; strain=ECOR48		GCA_002191025.1	GCA_002191025.1	D2
GCA_000777095.1	222171	GCA_000777095.1[Assembly Accession]	GCF_000777095.1	SAMN02802132	SAMN02802132	2802132	USA: WA	patient with urinary tract infection	Homo sapiens	urinary tract infection	Unknown	2011	upec-41	Unknown	upec-41	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=University of Washington; collected_by=University of Washington; collection date=2011; collection_date=2011; geo_loc_name=USA: WA; geographic location=USA: WA; host=Homo sapiens; host disease=urinary tract infection; host_disease=urinary tract infection; isolation source=patient with urinary tract infection; isolation_source=patient with urinary tract infection; lat_lon=Unknown; latitude and longitude=Unknown; strain=upec-41		GCA_000777095.1	GCA_000777095.1	D2
GCA_002516285.1	1309371	GCA_002516285.1[Assembly Accession]	GCF_002516285.1	SAMN05452845	SAMN05452845	5452845	USA	Unknown	Unknown	Unknown	Unknown	2014	MOD1-EC2703	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=United States Food and Drug Administration; collected_by=United States Food and Drug Administration; collection date=2014; collection_date=2014; food product origin geographic location=USA; food_origin=USA; geo_loc_name=USA; geographic location=USA; ifsac+ category=clinical/research; ifsac_category=clinical/research; interagency food safety analytics collaboration (ifsac) category=clinical/research; isolate name alias=CFSAN044707, 859428-7; isolate_name_alias=CFSAN044707, 859428-7; isolation source=Unknown; isolation_source=Unknown; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=missing:GENEPIO_0001618; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=United States Food and Drug Administration| Center for Food Safety and Applied Nutrition; sequenced_by=United States Food and Drug Administration| Center for Food Safety and Applied Nutrition; source type=Unknown; source_type=Unknown; strain=MOD1-EC2703		GCA_002516285.1	GCA_002516285.1	D2
