GCA	Assembly_UID	Assembly_search_term	Assembly_accession	BioSample	BioSample_refetched	BioSample_UID	geo_location	isolation_source	host	disease	host_health_state	collection_date	strain	sample_name	submitter_id	organism	biosample_title	all_biosample_attributes	error	GCA_clean	Bacterial accession	Phylogroup
GCA_003018255.1	1651161	GCA_003018255.1[Assembly Accession]	GCF_003018255.1	SAMN08579579	SAMN08579579	8579579	USA	stool	Homo sapiens	Unknown	Unknown	2012-09	2012C-4502	Unknown	2012C-4502	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=Unknown; collected_by=Unknown; collection date=2012-09; collection_date=2012-09; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; isolation source=stool; isolation_source=stool; lat_lon=Unknown; latitude and longitude=Unknown; pathotype=STEC; serotype=O185:H28; strain=2012C-4502		GCA_003018255.1	GCA_003018255.1	G
GCA_000351685.1	576648	GCA_000351685.1[Assembly Accession]	GCF_000351685.1	SAMN00854634	SAMN00854634	854634	Denmark	Unknown	Homo sapiens	Unknown	Unknown	2010	KTE75	Unknown	Escherichia coli KTE75	Escherichia coli KTE75	Generic sample from Escherichia coli KTE75	collection date=2010; collection_date=2010; geo_loc_name=Denmark; geographic location=Denmark; host=Homo sapiens; host sex=female; host-sex=female; host_sex=female; specific_host=Homo sapiens; strain=KTE75		GCA_000351685.1	GCA_000351685.1	G
GCA_001902655.1	915161	GCA_001902655.1[Assembly Accession]	GCF_001902655.1	SAMN05954725	SAMN05954725	5954725	Switzerland	stool sample	Homo sapiens	diarrhea	Unknown	2011	N11-1317	Unknown	EC N11-1317	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=Roger Stephan; collected_by=Roger Stephan; collection date=2011; collection_date=2011; geo_loc_name=Switzerland; geographic location=Switzerland; host=Homo sapiens; host disease=diarrhea; host_disease=diarrhea; isolation source=stool sample; isolation_source=stool sample; lat_lon=Unknown; latitude and longitude=Unknown; strain=N11-1317		GCA_001902655.1	GCA_001902655.1	G
GCA_002317955.1	1205751	GCA_002317955.1[Assembly Accession]	GCF_002317955.1	SAMN07450643	SAMN07450643	7450643	Thailand: Lamphun	Rectal swab	Chicken	Unknown	Unknown	08/03/2015	ECLC+05	Unknown	Unknown	Escherichia coli	Thailand Sample: ECLC+05	collected by=Unknown; collected_by=Unknown; collection date=2015-03-08; collection_date=2015-03-08; geo_loc_name=Thailand: Lamphun; geographic location=Thailand: Lamphun; host=Chicken; host description=laying Chicken; host disease=Unknown; host health state=Unknown; host sex=Unknown; host_description=laying Chicken; host_disease=Unknown; host_health_state=Unknown; host_sex=Unknown; isolation source=Rectal swab; isolation_source=Rectal swab; lat_lon=18.5745 N 99.0086 E; latitude and longitude=18.5745 N 99.0086 E; strain=ECLC+05		GCA_002317955.1	GCA_002317955.1	G
GCA_002193155.1	1132381	GCA_002193155.1[Assembly Accession]	GCF_002193155.1	SAMN07137398	SAMN07137398	7137398	Canada	manure	Bos taurus	Unknown	Unknown	2015	6294	Unknown	6294	Escherichia coli	Microbe sample from Escherichia coli	biomaterial provider=Dr. Moussa Diarra; biomaterial_provider=Dr. Moussa Diarra; collected by=AAFC; collected_by=AAFC; collection date=2015; collection_date=2015; depth=17 m; geo_loc_name=Canada; geographic location=Canada; host=Bos taurus; isolation source=manure; isolation_source=manure; sample type=whole organism; sample_type=whole organism; serotype=O33:H23; strain=6294		GCA_002193155.1	GCA_002193155.1	G
GCA_001268185.1	473061	GCA_001268185.1[Assembly Accession]	GCF_001268185.1	SAMEA3498456	SAMEA3498456	3963430	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	chicken fecal	E. coli E834	E. coli E834	Escherichia coli	E. coli E834 from chicken fecal	ena-checklist=ERC000011; ena-first-public=2015-08-05T17:01:45Z; ena-last-update=2018-03-09T13:26:11Z; external id=SAMEA3498456; insdc center name=Laboratory of Evolutionary Bioinformatics, SNU; insdc first public=2015-08-05T17:01:45Z; insdc last update=2018-03-09T13:26:11Z; insdc status=public; isolate=chicken fecal; sample name=E. coli E834; sample_name=E. coli E834; scientific_name=Escherichia coli; submitter id=E. coli E834		GCA_001268185.1	GCA_001268185.1	G
GCA_002810135.1	1458901	GCA_002810135.1[Assembly Accession]	GCF_002810135.1	SAMN08095557	SAMN08095557	8095557	United Kingdom	urine	Homo sapiens	Unknown	Unknown	2007/2008	K56-78	Unknown	K56-78	Escherichia coli	Urinary tract isolate of Escherichia coli str. K56-78, ST1235	collection date=2007/2008; collection_date=2007/2008; geo_loc_name=United Kingdom; geographic location=United Kingdom; host=Homo sapiens; isolation source=urine; isolation_source=urine; sample type=Whole organism; sample_type=Whole organism; strain=K56-78		GCA_002810135.1	GCA_002810135.1	G
GCA_002521265.1	1311851	GCA_002521265.1[Assembly Accession]	GCF_002521265.1	SAMN04992589	SAMN04992589	4992589	USA	intestine	Homo sapiens	Unknown	Unknown	10/02/1994	MOD1-EC6758	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1994-02-10; collection_date=1994-02-10; food product origin geographic location=Zambia; food_origin=Zambia; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN050466,44; isolate_name_alias=CFSAN050466,44; isolation source=intestine; isolation_source=intestine; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=intestine:uberon_0000160; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=human; source_type=human; strain=MOD1-EC6758		GCA_002521265.1	GCA_002521265.1	G
GCA_002518255.1	1310361	GCA_002518255.1[Assembly Accession]	GCF_002518255.1	SAMN05468025	SAMN05468025	5468025	USA	heart	Gallus gallus domesticus	Unknown	Unknown	28/08/1982	MOD1-EC5768	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1982-08-28; collection_date=1982-08-28; food product origin geographic location=USA:DE; food_origin=USA:DE; geo_loc_name=USA; geographic location=USA; host=Gallus gallus domesticus; host disease=Unknown; host_disease=Unknown; ifsac+ category=chicken; ifsac_category=chicken; interagency food safety analytics collaboration (ifsac) category=chicken; isolate name alias=CFSAN044005, 91; isolate_name_alias=CFSAN044005, 91; isolation source=heart; isolation_source=heart; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=chicken:FOODON_03411457, heart:UBERON_0000948; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5768		GCA_002518255.1	GCA_002518255.1	G
GCA_001262905.1	469261	GCA_001262905.1[Assembly Accession]	GCF_001262905.1	SAMN03455821	SAMN03455821	3455821	USA	cattle	Unknown	Unknown	Unknown	1999	CFSAN026806	Unknown	CFSAN026806	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	collected by=KSU; collected_by=KSU; collection date=1999; collection_date=1999; geo_loc_name=USA; geographic location=USA; host disease=Unknown; host_disease=Unknown; ifsac+ category=cow; ifsac_category=cow; interagency food safety analytics collaboration (ifsac) category=cow; isolate name alias=5710-2; isolate_name_alias=5710-2; isolation source=cattle; isolation_source=cattle; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=cattle:foodon_03411161; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=FDA Center for Food Safety and Applied Nutrition; sequenced_by=FDA Center for Food Safety and Applied Nutrition; serovar=O146; source type=animal; source_type=animal; strain=CFSAN026806		GCA_001262905.1	GCA_001262905.1	G
GCA_002231645.1	1160031	GCA_002231645.1[Assembly Accession]	GCF_002231645.1	SAMN04279515	SAMN04279515	4279515	USA	bone marrow	Equus ferus caballus	Unknown	Unknown	07/03/2008	MOD1-EC5176	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=2008-03-07; collection_date=2008-03-07; food product origin geographic location=USA:KY; food_origin=USA:KY; geo_loc_name=USA; geographic location=USA; host=Equus ferus caballus; host disease=Unknown; host_disease=Unknown; ifsac+ category=veterinary clinical/research| other animal; ifsac_category=veterinary clinical/research| other animal; interagency food safety analytics collaboration (ifsac) category=veterinary clinical/research| other animal; isolate name alias=8.0287; isolate_name_alias=8.0287; isolation source=bone marrow; isolation_source=bone marrow; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=bone marrow:UBERON_0002371| equus caballus:NCBITAXON_9796; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5176		GCA_002231645.1	GCA_002231645.1	B2-1
GCA_002544665.1	1324721	GCA_002544665.1[Assembly Accession]	GCF_002544665.1	SAMN05439352	SAMN05439352	5439352	USA	lung	Unknown	Unknown	Unknown	20/12/1985	MOD1-EC5940	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1985-12-20; collection_date=1985-12-20; food product origin geographic location=USA:PA; food_origin=USA:PA; geo_loc_name=USA; geographic location=USA; host=Unknown; host disease=Unknown; host_disease=Unknown; ifsac+ category=veterinary clinical/research; ifsac_category=veterinary clinical/research; interagency food safety analytics collaboration (ifsac) category=veterinary clinical/research; isolate name alias=CFSAN044177, 86-516; isolate_name_alias=CFSAN044177, 86-516; isolation source=lung; isolation_source=lung; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=lung:uberon_0002048; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5940		GCA_002544665.1	GCA_002544665.1	B2-1
GCA_002467895.1	1283051	GCA_002467895.1[Assembly Accession]	GCF_002467895.1	SAMN04992374	SAMN04992374	4992374	USA	feline cat lung	feline	Unknown	Unknown	05/09/2007	MOD1-EC7008	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=2007-09-05; collection_date=2007-09-05; food product origin geographic location=USA:CA; food_origin=USA:CA; geo_loc_name=USA; geographic location=USA; host=feline; host disease=Unknown; host_disease=Unknown; ifsac+ category=veterinary clinical/research| companion animal; ifsac_category=veterinary clinical/research| companion animal; interagency food safety analytics collaboration (ifsac) category=veterinary clinical/research| companion animal; isolate name alias=CFSAN050716,7283A; isolate_name_alias=CFSAN050716,7283A; isolation source=feline cat lung; isolation_source=feline cat lung; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=cat:NCIT_C14191| lung:UBERON_0002048; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC7008		GCA_002467895.1	GCA_002467895.1	B2-1
GCA_002466345.1	1282271	GCA_002466345.1[Assembly Accession]	GCF_002466345.1	SAMN05591593	SAMN05591593	5591593	USA:MD	feces	Homo sapiens	Unknown	Unknown	2016	MOD1-EC321	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=University of Maryland School of Medicine; collected_by=University of Maryland School of Medicine; collection date=2016; collection_date=2016; geo_loc_name=USA:MD; geographic location=USA:MD; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN054142, 2362/75; isolate_name_alias=CFSAN054142, 2362/75; isolation source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=feces:uberon_0001988; source type=human; source_type=human; strain=MOD1-EC321		GCA_002466345.1	GCA_002466345.1	B2-2
GCA_000249195.2	477468	GCA_000249195.2[Assembly Accession]	GCF_000249195.1	SAMN00116897	SAMN00116897	116897	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	DEC2C	Unknown	ECDEC2C	Escherichia coli DEC2C	Escherichia coli DEC2C	strain=DEC2C		GCA_000249195.2	GCA_000249195.2	B2-2
GCA_000183005.2	235938	GCA_000183005.2[Assembly Accession]	GCF_000183005.1	SAMN00792453	SAMN00792453	792453	USA: New Mexico	feces	Homo sapiens	diarrhea	Unknown	1975	2362-75	Unknown	13	Escherichia coli 2362-75	MIGS Cultured Bacterial/Archaeal sample from Escherichia coli 2362-75	broad-scale environmental context=terrestrial biome [ENVO:00000446]; collection date=1975; collection_date=1975; env_broad_scale=terrestrial biome [ENVO:00000446]; env_local_scale=human-associated habitat [ENVO:00009003]; env_medium=feces [ENVO:00002003]; environment (biome)=terrestrial biome [ENVO:00000446]; environment (feature)=human-associated habitat [ENVO:00009003]; environment (material)=feces [ENVO:00002003]; environmental medium=feces [ENVO:00002003]; finishing strategy (depth of coverage)=43x; geo_loc_name=USA: New Mexico; geographic location=USA: New Mexico; geographic location (country and/or sea,region)=USA: New Mexico; geographic location (latitude and longitude)=Unknown; host=Homo sapiens; host age=Unknown; host body product=Unknown; host disease=diarrhea; host phenotype=cEPEC(non-lethal); host sex=Unknown; host_age=Unknown; host_body_product=Unknown; host_disease=diarrhea; host_phenotype=cEPEC(non-lethal); host_sex=Unknown; investigation type=bacteria_archaea; investigation_type=bacteria_archaea; isol_growth_condt=Unknown; isolation and growth condition=Unknown; isolation source=feces; isolation-source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; local-scale environmental context=human-associated habitat [ENVO:00009003]; num_replicons=Unknown; number of replicons=Unknown; project name=Emerging Diarrheal Pathogens; project_name=Emerging Diarrheal Pathogens; ref_biomaterial=Unknown; reference for biomaterial=Unknown; serotype=O55:H6; specific host=Homo sapiens; strain=2362-75		GCA_000183005.2	GCA_000183005.2	B2-2
GCA_001283825.1	481181	GCA_001283825.1[Assembly Accession]	GCF_001283825.1	SAMEA1466190	SAMEA1466190	1088305	Kenya	feces	Homo sapiens	Unknown	Not known	2010	403128	Escherichia_coli_403128-sc-2012-01-13T20:11:10Z-1332492	Escherichia_coli_403128-sc-2012-01-13T20:11:10Z-1332492	Escherichia coli	7748_7#25	anonymized name=1332492; collection date=2010; collection_date=2010; ena-checklist=ERC000011; ena-first-public=2012-06-06T13:43:56Z; ena-last-update=2018-03-09T09:55:31Z; external id=SAMEA1466190; geo_loc_name=Kenya; geographic location=Kenya; geographic location (country and/or sea)=Kenya; host=Homo sapiens; host health state=Not known; host_health_state=Not known; insdc center name=SC; insdc first public=2012-06-06T13:43:56Z; insdc last update=2018-03-09T09:55:31Z; insdc status=public; isolation source=feces; isolation_source=feces; sample name=Escherichia_coli_403128-sc-2012-01-13T20:11:10Z-1332492; sample_name=Escherichia_coli_403128-sc-2012-01-13T20:11:10Z-1332492; scientific_name=Escherichia coli; serovar=Not known; specific host=Homo sapiens; strain=403128; submitter id=Escherichia_coli_403128-sc-2012-01-13T20:11:10Z-1332492		GCA_001283825.1	GCA_001283825.1	B2-2
GCA_001266115.1	471911	GCA_001266115.1[Assembly Accession]	GCF_001266115.1	SAMN02640739	SAMN02640739	2640739	Gambia	Unknown	Homo sapiens	Unknown	Unknown	Unknown	102535	Unknown	102535	Escherichia coli	MIGS Cultured Bacterial/Archaeal sample from Escherichia coli	biome=Unknown; broad-scale environmental context=Unknown; collection date=Unknown; collection_date=Unknown; env_broad_scale=Unknown; env_local_scale=Unknown; env_medium=stool; env_package=Unknown; environmental medium=stool; environmental package=Unknown; feature=Unknown; geo_loc_name=Gambia; geographic location=Gambia; host=Homo sapiens; investigation type=bacteria_archaea; investigation_type=bacteria_archaea; isol_growth_condt=Unknown; isolation and growth condition=Unknown; lat_lon=13.47 N 16.60 W; latitude and longitude=13.47 N 16.60 W; local-scale environmental context=Unknown; material=stool; nat-host=Homo sapiens; num_replicons=Unknown; number of replicons=Unknown; ref_biomaterial=Unknown; reference for biomaterial=Unknown; strain=102535		GCA_001266115.1	GCA_001266115.1	B2-2
GCA_001265515.1	471611	GCA_001265515.1[Assembly Accession]	GCF_001265515.1	SAMN02640708	SAMN02640708	2640708	Kenya	Unknown	Homo sapiens	Unknown	Unknown	Unknown	401264	Unknown	401264	Escherichia coli	MIGS Cultured Bacterial/Archaeal sample from Escherichia coli	biome=Unknown; broad-scale environmental context=Unknown; collection date=Unknown; collection_date=Unknown; env_broad_scale=Unknown; env_local_scale=Unknown; env_medium=stool; env_package=Unknown; environmental medium=stool; environmental package=Unknown; feature=Unknown; geo_loc_name=Kenya; geographic location=Kenya; host=Homo sapiens; investigation type=bacteria_archaea; investigation_type=bacteria_archaea; isol_growth_condt=Unknown; isolation and growth condition=Unknown; lat_lon=1.27 S 36.80 E; latitude and longitude=1.27 S 36.80 E; local-scale environmental context=Unknown; material=stool; nat-host=Homo sapiens; num_replicons=Unknown; number of replicons=Unknown; ref_biomaterial=Unknown; reference for biomaterial=Unknown; strain=401264		GCA_001265515.1	GCA_001265515.1	B2-2
GCA_000410675.2	564951	GCA_000410675.2[Assembly Accession]	GCF_000410675.2	SAMN02435913	SAMN02435913	2435913	Japan	stool sample	Homo sapiens	Unknown	Unknown	Unknown	C844_97	Unknown	AIBZ	Escherichia coli C844_97	Generic sample from Escherichia coli C844_97	country=Japan; geo_loc_name=Japan; geographic location=Japan; host=Homo sapiens; isolation source=stool sample; isolation-source=stool sample; isolation_source=stool sample; strain=C844_97		GCA_000410675.2	GCA_000410675.2	B2-2
GCA_000194665.2	465148	GCA_000194665.2[Assembly Accession]	GCF_000194665.1	SAMN00031774	SAMN00031774	31774	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	3003	Unknown	Escherichia coli 3003 STEC024-P8KB-01-645 Sample	Escherichia coli 3003	Sequencing of non-Shiga toxin-producing E. coli 3003	strain=3003		GCA_000194665.2	GCA_000194665.2	B2-2
GCA_002466085.1	1282141	GCA_002466085.1[Assembly Accession]	GCF_002466085.1	SAMN06049495	SAMN06049495	6049495	USA	Unknown	Homo sapiens	Unknown	Unknown	1989	MOD1-EC581	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=CDC; collected_by=CDC; collection date=1989; collection_date=1989; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research, human; ifsac_category=clinical/research, human; interagency food safety analytics collaboration (ifsac) category=clinical/research, human; isolate name alias=CFSAN057055, 3003-89; isolate_name_alias=CFSAN057055, 3003-89; isolation source=Unknown; isolation_source=Unknown; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=missing:GENEPIO_0001618; source type=human; source_type=human; strain=MOD1-EC581		GCA_002466085.1	GCA_002466085.1	B2-2
GCA_000447125.2	566091	GCA_000447125.2[Assembly Accession]	GCF_000447125.2	SAMN02435968	SAMN02435968	2435968	United Kingdom	stool sample	Homo sapiens	Unknown	Unknown	Unknown	C9_92	Unknown	AICE	Escherichia coli C9_92	Generic sample from Escherichia coli C9_92	country=United Kingdom; geo_loc_name=United Kingdom; geographic location=United Kingdom; host=Homo sapiens; isolation source=stool sample; isolation-source=stool sample; isolation_source=stool sample; strain=C9_92		GCA_000447125.2	GCA_000447125.2	B2-2
GCA_001266445.1	472081	GCA_001266445.1[Assembly Accession]	GCF_001266445.1	SAMN02640757	SAMN02640757	2640757	Pakistan	Unknown	Homo sapiens	Unknown	Unknown	Unknown	700283	Unknown	700283	Escherichia coli	MIGS Cultured Bacterial/Archaeal sample from Escherichia coli	biome=Unknown; broad-scale environmental context=Unknown; collection date=Unknown; collection_date=Unknown; env_broad_scale=Unknown; env_local_scale=Unknown; env_medium=stool; env_package=Unknown; environmental medium=stool; environmental package=Unknown; feature=Unknown; geo_loc_name=Pakistan; geographic location=Pakistan; host=Homo sapiens; investigation type=bacteria_archaea; investigation_type=bacteria_archaea; isol_growth_condt=Unknown; isolation and growth condition=Unknown; lat_lon=33.67 N 73.17 E; latitude and longitude=33.67 N 73.17 E; local-scale environmental context=Unknown; material=stool; nat-host=Homo sapiens; num_replicons=Unknown; number of replicons=Unknown; ref_biomaterial=Unknown; reference for biomaterial=Unknown; strain=700283		GCA_001266445.1	GCA_001266445.1	B2-2
GCA_002461255.1	1279751	GCA_002461255.1[Assembly Accession]	GCF_002461255.1	SAMN05591720	SAMN05591720	5591720	Guinea-Bissau	feces	Homo sapiens	Unknown	Unknown	1997	MOD1-EC1544	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Michigan State University; collected_by=Michigan State University; collection date=1997; collection_date=1997; geo_loc_name=Guinea-Bissau; geographic location=Guinea-Bissau; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN054284, 106G6; isolate_name_alias=CFSAN054284, 106G6; isolation source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=feces:uberon_0001988; source type=human; source_type=human; strain=MOD1-EC1544		GCA_002461255.1	GCA_002461255.1	B2-2
GCA_002460435.1	1279341	GCA_002460435.1[Assembly Accession]	GCF_002460435.1	SAMN05607352	SAMN05607352	5607352	USA	feces	Homo sapiens	Unknown	Unknown	1953	MOD1-EC1696	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Michigan State University; collected_by=Michigan State University; collection date=1953; collection_date=1953; description=MSU:USA-MI:TW06584; food product origin geographic location=Germany; food_origin=Germany; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN054371, C295-53; isolate_name_alias=CFSAN054371, C295-53; isolation source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=feces:uberon_0001988; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Michigan State University; sequenced_by=Michigan State University; source type=human; source_type=human; strain=MOD1-EC1696		GCA_002460435.1	GCA_002460435.1	B2-2
GCA_000614465.2	569791	GCA_000614465.2[Assembly Accession]	GCF_000614465.2	SAMN02353068	SAMN02353068	2353068	USA	Unknown	Unknown	Unknown	Unknown	Unknown	99-3124	Unknown	99-3124	Escherichia coli O86:H34 str. 99-3124	Pathogen sample from Escherichia coli	collected by=CDC; collected_by=CDC; collection date=Unknown; collection_date=Unknown; geo_loc_name=USA; geographic location=USA; host=Unknown; host disease=Unknown; host_disease=Unknown; isolation source=Unknown; isolation_source=Unknown; lat_lon=Unknown; latitude and longitude=Unknown; serovar=O86:H34; specific_host=Unknown; strain=99-3124		GCA_000614465.2	GCA_000614465.2	B2-2
GCA_001266385.1	472041	GCA_001266385.1[Assembly Accession]	GCF_001266385.1	SAMN02640753	SAMN02640753	2640753	Kenya	Unknown	Homo sapiens	Unknown	Unknown	Unknown	402559	Unknown	402559	Escherichia coli	MIGS Cultured Bacterial/Archaeal sample from Escherichia coli	biome=Unknown; broad-scale environmental context=Unknown; collection date=Unknown; collection_date=Unknown; env_broad_scale=Unknown; env_local_scale=Unknown; env_medium=stool; env_package=Unknown; environmental medium=stool; environmental package=Unknown; feature=Unknown; geo_loc_name=Kenya; geographic location=Kenya; host=Homo sapiens; investigation type=bacteria_archaea; investigation_type=bacteria_archaea; isol_growth_condt=Unknown; isolation and growth condition=Unknown; lat_lon=1.27 S 36.80 E; latitude and longitude=1.27 S 36.80 E; local-scale environmental context=Unknown; material=stool; nat-host=Homo sapiens; num_replicons=Unknown; number of replicons=Unknown; ref_biomaterial=Unknown; reference for biomaterial=Unknown; strain=402559		GCA_001266385.1	GCA_001266385.1	B2-2
GCA_002474445.1	1288451	GCA_002474445.1[Assembly Accession]	GCF_002474445.1	SAMN04279412	SAMN04279412	4279412	USA	canine rectum	canine	Unknown	Unknown	19/11/2004	MOD1-EC5075	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=2004-11-19; collection_date=2004-11-19; food product origin geographic location=USA:NY; food_origin=USA:NY; geo_loc_name=USA; geographic location=USA; host=canine; host disease=Unknown; host_disease=Unknown; ifsac+ category=veterinary clinical/research| companion animal; ifsac_category=veterinary clinical/research| companion animal; interagency food safety analytics collaboration (ifsac) category=veterinary clinical/research| companion animal; isolate name alias=4.258; isolate_name_alias=4.258; isolation source=canine rectum; isolation_source=canine rectum; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=dog:FOODON_03414847| rectum:UBERON_0001052; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5075		GCA_002474445.1	GCA_002474445.1	B2-2
GCA_002461115.1	1279691	GCA_002461115.1[Assembly Accession]	GCF_002461115.1	SAMN05591711	SAMN05591711	5591711	Guinea-Bissau	feces	Homo sapiens	Unknown	Unknown	1996	MOD1-EC1553	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Michigan State University; collected_by=Michigan State University; collection date=1996; collection_date=1996; geo_loc_name=Guinea-Bissau; geographic location=Guinea-Bissau; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN054293, 22B7; isolate_name_alias=CFSAN054293, 22B7; isolation source=feces; isolation_source=feces; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=feces:uberon_0001988; source type=human; source_type=human; strain=MOD1-EC1553		GCA_002461115.1	GCA_002461115.1	B2-2
